Course Code,Name,Leveled?,Has level 3 CP,Has level 2 CP,Has level 1 (Honors),Has level 5 (Enriched),Has level 7 (AP),Keywords (separate by commas)
EN01X,English 9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN02X,World Studies,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,history
EN12X,English 10,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN13X,Modern World Studies,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,history
EN23X,Survey of American Literature,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS03X,American Studies,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
EN407,AP Language and Composition,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,aplang
EN25X,Dramatic Literature,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN24X,Survey of British Literature,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN26X,Humanities,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN29X,Literary Connections: STEAM,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN30X,Identity through Literature,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN32X,Contemporary Text,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN27X,Dominant Ideas,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN28X,Journalism: Literary Non-Fiction,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN501,Capstone,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,research
EN31X,Creative Writing,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
EN417,AP Literature and Composition,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,lit & comp
EN510,Newspaper Production,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
EL102,ELL Level I,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
EL202,ELL Level II,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
EL302,ELL Level III,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
EL402,English Writing Seminar,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
SS00X,World History,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS01X,The Modern World,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,mwh
SS02X,U.S. History II,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS027,AP U.S. History,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,apush
SS04X,Anthropology/Sociology,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS12X,The Modern Middle East,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS10X,Global Religions,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS13X,Intro to Philosophy,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS08X,Music & Society,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS11X,Classical Civilizations,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS05X,Psychology,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS06X,Economics,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS07X,Democracy & Media Literacy,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS09X,Race & Membership,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
SS057,AP Modern European History,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ap euro
MA22X,Algebra I,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
MA325,Enriched Geometry,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
MA32X,Geometry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
MA425,Enriched Algebra II,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
